country,brand,cars_sold,country_total,share
China,Yunque Auto,2409,28075318,8.580490521959537e-05
China,Yutong Bus,60868,28075318,0.0021680253096331803
China,ZD,15336,28075318,0.0005462449258811601
China,Zhejiang Feidi Motors Manufacturing,48804,28075318,0.0017383240325185274
China,Zhongtong Bus Stock Holding,8715,28075318,0.0003104150058068799
China,Zotye,233872,28075318,0.008330163882738568
Colombia,Anhui Jianghuai Automobile,3034,256540,0.011826615732439386
Colombia,Audi,1404,256540,0.005472830747641693
Colombia,BMW,3671,256540,0.014309659312387932
Colombia,BYD Auto,187,256540,0.0007289311608326186
Colombia,Beiqi Foton Motor,2384,256540,0.009292897793716379
Colombia,Changan/Chana,248,256540,0.0009667108443127778
Colombia,Chery,800,256540,0.003118422078428315
Colombia,Chevrolet,49968,256540,0.19477664301863257
Colombia,Citroen,922,256540,0.0035939814453886335
Colombia,Daihatsu,255,256540,0.0009939970374990255
Colombia,Dodge,966,256540,0.0037654946597021908
Colombia,Dongfeng Motor,1448,256540,0.00564434396195525
Colombia,Emgrand,112,256540,0.00043657909097996416
Colombia,Fiat,1725,256540,0.006724097606611055
Colombia,Ford,12434,256540,0.04846807515397209
Colombia,Geely,360,256540,0.001403289935292742
Colombia,GreatWall,642,256540,0.002502533717938723
Colombia,Hafei,616,256540,0.002401185000389803
Colombia,Hino,1855,256540,0.007230841194355656
Colombia,Honda,2429,256540,0.009468309035627972
Colombia,Hyundai,4967,256540,0.019361503079441802
Colombia,JMC,504,256540,0.0019646059094098386
Colombia,Jeep,1622,256540,0.006322600764013409
Colombia,Kia,21313,256540,0.08307866219692836
Colombia,Mazda,21311,256540,0.08307086614173229
Colombia,Mercedes-Benz,4346,256540,0.016940827941061824
Colombia,Mitsubishi,1408,256540,0.005488422858033835
Colombia,Nissan,23217,256540,0.09050050674358774
Colombia,Other,2349,256540,0.009156466827785141
Colombia,Peugeot,1285,256540,0.005008965463475482
Colombia,Porsche,236,256540,0.000919934513136353
Colombia,Renault,49534,256540,0.19308489904108522
Colombia,Ssangyong,302,256540,0.001177204334606689
Colombia,Subaru,1541,256540,0.006006860528572543
Colombia,Suzuki,8317,256540,0.03241989553286037
Colombia,Toyota,13953,256540,0.05438917907538785
Colombia,VW,13372,256540,0.05212442504092929
Colombia,Volvo Cars,931,256540,0.003629063693770952
Colombia,Zotye,572,256540,0.0022296717860762452
Croatia,Alfa Romeo,125,59607,0.0020970691361752816
Croatia,Audi,2116,59607,0.035499186337175165
Croatia,BMW,1793,59607,0.030080359689298238
Croatia,Chrysler/Jeep,161,59607,0.0027010250473937627
Croatia,Citroen,2149,59607,0.03605281258912544
Croatia,Dacia,2663,59607,0.044675960877078195
Croatia,Fiat,1430,59607,0.02399047091784522
Croatia,Ford,4361,59607,0.07316254802288322
