Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Seychelles,SYC,16628.0992022824
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sierra Leone,SLE,630.482455396876
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Singapore,SGP,61373.6484785038
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sint Maarten (Dutch part),SXM,27093.797137995
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Slovak Republic,SVK,17730.150113023
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Slovenia,SVN,23476.3698861929
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Solomon Islands,SLB,2321.06766034382
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Somalia,SOM,425.416599381933
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Africa,ZAF,6199.89169872681
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Sudan,SSD,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Spain,ESP,27725.8055220733
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sri Lanka,LKA,4157.28387631742
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Kitts and Nevis,KNA,19681.4914036128
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Lucia,LCA,10975.8265467253
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Martin (French part),MAF,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Vincent and the Grenadines,VCT,7787.77335980439
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sudan,SDN,2061.6865234375
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Suriname,SUR,9020.44078727509
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sweden,SWE,52983.0068617482
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Switzerland,CHE,87980.6706854377
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Syrian Arab Republic,SYR,988.637160350264
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tajikistan,TJK,1119.62648413859
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tanzania,TZA,1042.98767089844
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Thailand,THA,6491.33026801857
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Timor-Leste,TLS,1251.42664522467
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Togo,TGO,612.785751009321
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tonga,TON,4676.77822130352
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Trinidad and Tobago,TTO,16408.3842370189
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tunisia,TUN,4199.65733164725
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turkiye,TUR,12006.8158804758
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turkmenistan,TKM,7349.45910609327
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turks and Caicos Islands,TCA,27623.6701663883
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tuvalu,TUV,3501.47393294681
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uganda,UGA,870.708740313753
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ukraine,UKR,2336.97631835938
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Arab Emirates,ARE,39670.9189612731
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Kingdom,GBR,47231.3368868464
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United States,USA,59600.0530984446
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uruguay,URY,16037.9321087408
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uzbekistan,UZB,3047.30838365541
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Vanuatu,VUT,2860.01247554305
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Venezuela, RB",VEN,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Vietnam,VNM,3062.74920186988
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Virgin Islands (U.S.),VIR,35183.2357524821
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,West Bank and Gaza,PSE,3417.79440837962
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Yemen, Rep.",YEM,1290.90678566983
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Zambia,ZMB,1368.60175641733
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Zimbabwe,ZWE,1529.0263737276
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Africa Eastern and Southern,AFE,1544.07797470558
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Africa Western and Central,AFW,1843.55469505772
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Arab World,ARB,6414.53970555211
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Caribbean small states,CSS,10012.8163086494
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Central Europe and the Baltics,CEB,14244.0240611986
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Early-demographic dividend,EAR,3535.75997493953
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,East Asia & Pacific,EAS,10834.3640622059
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,East Asia & Pacific (excluding high income),EAP,7719.14456418785
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,East Asia & Pacific (IDA & IBRD countries),TEA,7804.69775307602
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Euro area,EMU,36338.6111011861
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Europe & Central Asia,ECS,23936.3776992433
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Europe & Central Asia (excluding high income),ECA,8004.56501867379
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Europe & Central Asia (IDA & IBRD countries),TEC,8692.28866953552
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,European Union,EUU,32460.5403004971
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Fragile and conflict affected situations,FCS,1933.58020203046
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Heavily indebted poor countries (HIPC),HPC,1011.46747190506
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,High income,HIC,41862.3390752507
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,IBRD only,IBD,6233.58419302976
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,IDA & IBRD total,IBT,5004.55539360651
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,IDA blend,IDB,1992.20436470064
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,IDA only,IDX,1103.70638469656
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,IDA total,IDA,1402.37829593877
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Late-demographic dividend,LTE,9343.44063603654
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Latin America & Caribbean,LCN,8668.34022871221
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Latin America & Caribbean (excluding high income),LAC,8206.8950817266
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8527.48064100545
